N	t	zeta_norm	dn_norm	product_norm	cancel_residual	cancel_ratio
100	26	1.432060628027021e0	9.667964483540828e-1	1.384511129004241e0	4.000169525878383e-1	2.889228870811143e-1
100	28	2.808043181375932e0	4.084666580894435e-1	1.146992014067477e0	1.843798743820451e-1	1.607507917410819e-1
100	30	5.870395110583916e-1	1.954259081396478e0	1.147227295624410e0	8.666234473995297e-1	7.554069282563978e-1
100	32	8.865527662531951e-1	1.467423936319201e0	1.300948750009940e0	3.031248695477064e-1	2.330029292432852e-1
100	34	1.651253224315769e0	7.731086411604949e-1	1.276598136462650e0	2.786786889592211e-1	2.182978973566553e-1
100	36	2.627576601723659e0	4.314182418753754e-1	1.133584477908494e0	1.786627819754499e-1	1.576087053565601e-1
100	38	7.802544191052251e-1	1.520638714881077e0	1.186485077148451e0	8.496827837503059e-1	7.161344041447182e-1
100	40	1.324450671394206e0	1.062774998509992e0	1.407593060317536e0	4.170693462986766e-1	2.962996607873237e-1
200	2	5.654264803804672e-1	1.649388500585326e0	9.326079346659769e-1	8.781584241005594e-2	9.416158617769865e-2
200	4	5.859361161985774e-1	1.563487738165556e0	9.161039330248242e-1	8.424655023762784e-2	9.196178206490133e-2
200	6	8.868162950208472e-1	1.098950911718598e0	9.745675759400697e-1	7.389939414391943e-2	7.582788096827039e-2
200	8	1.310023061869230e0	7.884320287664601e-1	1.032864140400407e0	5.134771572154614e-2	4.971391077788831e-2
200	10	1.580624707488814e0	6.881980694178408e-1	1.087782872167941e0	8.781229232436548e-2	8.072593765827220e-2
200	12	1.286458344806362e0	8.681903515948952e-1	1.116890722689622e0	1.171076019565939e-1	1.048514412176181e-1
200	14	1.231549337821083e-1	3.822928921849400e0	4.708125582240696e-1	1.082284005282228e0	2.298757725079938e0
200	16	1.534102105434501e0	7.844154810762963e-1	1.203373441054564e0	2.416702951697150e-1	2.008273466281006e-1
200	18	2.342272070187408e0	4.921269483915016e-1	1.152695206203974e0	1.659728865896153e-1	1.439867934700561e-1
200	20	1.157898320121508e0	1.000104971079531e0	1.158019865958158e0	1.634877357704950e-1	1.411786969951707e-1
200	22	9.734140545178969e-1	1.236076823708338e0	1.203214552661537e0	2.047631265853279e-1	1.701800615130422e-1
200	24	1.105986425235444e0	1.066001127825205e0	1.178982776660349e0	1.806076591243305e-1	1.531893957229211e-1
200	26	1.432060628027021e0	8.247985044242699e-1	1.181161464241567e0	1.821123703381538e-1	1.541807583902930e-1
200	28	2.808043181375932e0	3.889659132640785e-1	1.092233080528858e0	1.233596202798860e-1	1.129425783553044e-1
200	30	5.870395110583916e-1	2.099974770246027e0	1.232768162360186e0	8.259511079486540e-1	6.699971115147362e-1
200	32	8.865527662531951e-1	1.427426498088991e0	1.265488910503906e0	2.692567856201020e-1	2.127689807355850e-1
200	34	1.651253224315769e0	6.630487747859810e-1	1.094861427243972e0	1.041122304243989e-1	9.509169638615761e-2
200	36	2.627576601723659e0	4.581213026275543e-1	1.203748815535325e0	2.860683340774621e-1	2.376478633960218e-1
200	38	7.802544191052251e-1	1.635590600010101e0	1.276176793504848e0	8.397635580552809e-1	6.580307386322105e-1
200	40	1.324450671394206e0	9.705764443799786e-1	1.285480623398464e0	2.897127927953392e-1	2.253731308912434e-1
